route_id,route_short_name,route_long_name,route_color
GOLD ALT,10,Gold 1 Alternate,c7994a
LAVENDER ALT,3,Lavender Alternate,a78bc0
BRONZE ALT,8,Bronze Alternate,9e8966
BRONZE YANKEE RIDGE,8,Bronze Yankee Ridge,9e8966
RUBY SATURDAY,110,Ruby Saturday,eb008b
YELLOW LATE NIGHT,100,Yellow Late Night,fcee1f
TEAL,12,Teal,006991
BLUE,4,Blue,355caa
1S YELLOW ALT,1,Yellow S Alternate,fcee1f
SILVER EVENING SUNDAY,130,Silver Evening Sunday,cccccc
RED,2,Red,ed1c24
SILVER EVENING SATURDAY,130,Silver Evening Saturday,cccccc
RUBY EVENING SATURDAY,110,Ruby Evening Saturday,eb008b
GREEN EXPRESS,5,Green Express,008063
TEAL LATE NIGHT,120,Teal Late Night,006991
LAVENDER,3,Lavender,a78bc0
GREEN SATURDAY,50,Green Saturday,008063
NAVY,14,Navy,2b3088
SILVER SUNDAY,130,Silver Sunday,cccccc
TEAL LATE NIGHT SATURDAY,120,Teal Late Night Saturday,006991
5W GREEN EXPRESS 2,5,Green West Express,008063
5W GREEN ALT 2,5,Green 2 Alternate,008063
PINK,16,Pink,ffbfff
GREEN EVENING SATURDAY,50,Green Evening Saturday,008063
BROWN ALT PM,9,Brown Alternate PM,825622
ILLINI EVENING SATURDAY,220,Illini Evening Saturday,5a1d5a
ILLINI LIMITED SATURDAY,220,Illini Limited Saturday,5a1d5a
LIME SUNDAY,180,Lime Sunday,b2d235
5E GREEN EXPRESS 1 ALT,5,Green Express 1 Alternate,008063
ILLINI LIMITED EVENING SATURDAY,220,Illini Limited Evening Saturday,5a1d5a
GOLDHOPPER,10,Gold Hopper,c7994a
SILVER,13,Silver,cccccc
ILLINI LIMITED SUNDAY,220,Illini Limited Sunday,5a1d5a
GREENHOPPER,5,Green Hopper,008063
RUBY,11,Ruby,eb008b
LAVENDER SATURDAY,30,Lavender Saturday,a78bc0
GREY ALT,7,Grey Alternate,808285
GREEN LATE NIGHT SUNDAY,50,Green Late Night Sunday,008063
YELLOW,1,Yellow,fcee1f
GOLD,10,Gold,c7994a
ORANGEHOPPER,6,Orange Hopper,f99f2a
5E GREEN EXPRESS ALT,5,Green Express Alternate,008063
BROWN ALT1,9,Brown Alternate,825622
GREY,7,Grey,808285
1 YELLOW ALT,1,Yellow Alternate,fcee1f
GREEN ALT,5,Green Alternate,008063
ILLINI EVENING SUNDAY,220,Illini Evening Sunday,5a1d5a
LIME SATURDAY,180,Lime Saturday,b2d235
TEAL EVENING,120,Teal Evening,006991
ILLINI LIMITED,22,Illini Limited,5a1d5a
LAVENDER SUNDAY,30,Lavender Sunday,a78bc0
TEAL LATE NIGHT SUNDAY,120,Teal Late Night Sunday,006991
SILVER EVENING,130,Silver Evening,cccccc
SILVER LIMITED EVENING SATURDAY,130,Silver Limited Evening Saturday,cccccc
GREY EVENING SATURDAY,70,Grey Evening Saturday,808285
LIME EVENING SATURDAY,180,Lime Evening Saturday,b2d235
YELLOWHOPPER,1,Yellow Hopper,fcee1f
SILVER LATE NIGHT,130,Silver Late Night,cccccc
BROWN,9,Brown,825622
7E GREY ALT,7,Grey E Alternate,808285
RUBY SUNDAY,110,Ruby Sunday,eb008b
GREEN LATE NIGHT,50,Green Late Night,008063
GREY EVENING,70,Grey Evening,808285
ILLINI EVENING,220,Illini Evening,5a1d5a
GREEN SUNDAY,50,Green Sunday,008063
RED SATURDAY,20,Red Saturday,ed1c24
SILVER LIMITED SATURDAY,130,Silver Limited Saturday,cccccc
GREENHOPPER EVENING,50,Green Hopper Evening,008063
ILLINI,22,Illini,5a1d5a
YELLOW LATE NIGHT SATURDAY,100,Yellow Late Night Saturday,fcee1f
1N YELLOW ALT PM,1,Yellow Alternate PM,fcee1f
TEAL EVENING SATURDAY,120,Teal Evening Saturday,006991
PINK ALT,16,Pink Alternate,ffc0ff
GREENHOPPER EVENING SATURDAY,50,Green Hopper Evening Saturday,008063
YELLOW EVENING,100,Yellow Evening,fcee1f
SILVER LIMITED EVENING,130,Silver Limited Evening,cccccc
YELLOW LATE NIGHT SUNDAY,100,Yellow Late Night Sunday,fcee1f
ILLINI LIMITED EVENING,220,Illini Limited Evening,5a1d5a
GREEN,5,Green,008063
YELLOW SUNDAY,100,Yellow Sunday,fcee1f
RAVEN,21,Raven,000000
TEAL SATURDAY,120,Teal Saturday,006991
GREY SATURDAY,70,Grey Saturday,808285
TEAL SUNDAY,120,Teal Sunday,006991
SILVER LIMITED SUNDAY,130,Silver Limited Sunday,cccccc
BROWN ALT,9,Brown A Alternate,825622
GREEN EXPRESS ALT,5,Green Express 2 Alternate,008063
GREY SUNDAY,70,Grey Sunday,808285
1N YELLOW ALT,1,Yellow N Alternate,fcee1f
GREEN EVENING,50,Green Evening,008063
RUBY EVENING,110,Ruby Evening,eb008b
YELLOW SATURDAY,100,Yellow Saturday,fcee1f
LIME EVENING,180,Lime Evening,b2d235
YELLOW EVENING SATURDAY,100,Yellow Evening Saturday,fcee1f
7W GREY ALT,7,Grey W Alternate,808285
GREEN LATE NIGHT SATURDAY,50,Green Late Night Saturday,008063
SILVER SATURDAY,130,Silver Saturday,cccccc
3S LAVENDER ALT,3,Lavender 1 Alternate,a78bc0
ORANGE,6,Orange,f99f2a
10W GOLD ALT,10,Gold Alternate,c7994a
BRONZE,8,Bronze,9e8966
ORANGE ALT,6,Orange Alternate,f99f2a